ticker,tv_symbol,forecast_url,market,asset_type,name,theme,last_attempt_date,rating_date,next_refresh_due,current_price,tv_avg_target,tv_high_target,tv_low_target,tv_upside_pct,tv_high_upside_pct,tv_low_upside_pct,tv_analyst_count_target,tv_consensus,tv_analyst_count_rating,source_quality,freshness,stale_days,status,note
POET,NASDAQ:POET,https://www.tradingview.com/symbols/NASDAQ-POET/forecast/,US,stock,POET Technologies,光電融合・CPO,2026-06-27,2026-06-27,2026-07-27,9.4399995803833,20.25,23.0,17.5,114.51272139969493,143.64407862681398,85.38136417257586,2.0,,1.0,TV_FULL,attempted,0.0,forecast_page_ok,
KITT,NASDAQ:KITT,https://www.tradingview.com/symbols/NASDAQ-KITT/forecast/,US,stock,Nauticus Robotics,海洋ロボ・超小型,2026-06-27,2026-06-27,2026-07-04,1.149999976158142,,,,,,,,NoRating,,TV_PARTIAL,attempted,0.0,kept_previous_tv_partial,今回未取得のため前回TV_PARTIALを保持。https://www.tradingview.com/symbols/NASDAQ-KITT/forecast/: HTTP Error 404: Not Found / https://www.tradingview.com/symbols/NASDAQ-KITT/forecast-price-target/: HTTP Error 404: Not Found / https://www.tradingview.com/symbols/NYSE-KITT/forecast/: HTTP Error 404: Not Found
AXTI,NASDAQ:AXTI,https://www.tradingview.com/symbols/NASDAQ-AXTI/forecast/,US,stock,AXT,化合物半導体,2026-06-27,2026-06-27,2026-07-04,70.1500015258789,,,,,,,,Buy,,TV_PARTIAL,attempted,0.0,kept_previous_tv_partial,今回未取得のため前回TV_PARTIALを保持。https://www.tradingview.com/symbols/NASDAQ-AXTI/forecast/: HTTP Error 403: Forbidden / https://www.tradingview.com/symbols/NASDAQ-AXTI/forecast-price-target/: HTTP Error 403: Forbidden / https://www.tradingview.com/symbols/NYSE-AXTI/forecast/: HTTP Error 403: Forbidden
COHR,NYSE:COHR,https://www.tradingview.com/symbols/NYSE-COHR/forecast/,US,stock,Coherent,光通信・CPO,2026-06-27,2026-06-27,2026-07-04,380.55999755859375,,,,,,,,Buy,,TV_PARTIAL,attempted,0.0,kept_previous_tv_partial,今回未取得のため前回TV_PARTIALを保持。https://www.tradingview.com/symbols/NYSE-COHR/forecast/: HTTP Error 403: Forbidden / https://www.tradingview.com/symbols/NYSE-COHR/forecast-price-target/: HTTP Error 403: Forbidden / https://www.tradingview.com/symbols/NASDAQ-COHR/forecast/: HTTP Error 403: Forbidden
ANET,NYSE:ANET,https://www.tradingview.com/symbols/NYSE-ANET/forecast/,US,stock,Arista Networks,AIネットワーク,2026-06-27,2026-06-27,2026-07-04,157.60000610351562,,,,,,,,StrongBuy,,TV_PARTIAL,attempted,0.0,kept_previous_tv_partial,今回未取得のため前回TV_PARTIALを保持。https://www.tradingview.com/symbols/NYSE-ANET/forecast/: HTTP Error 403: Forbidden / https://www.tradingview.com/symbols/NYSE-ANET/forecast-price-target/: HTTP Error 403: Forbidden / https://www.tradingview.com/symbols/NASDAQ-ANET/forecast/: HTTP Error 403: Forbidden
DDOG,NASDAQ:DDOG,https://www.tradingview.com/symbols/NASDAQ-DDOG/forecast/,US,stock,Datadog,監視SaaS,2026-06-27,2026-06-27,2026-07-04,239.77000427246094,,,,,,,,StrongBuy,,TV_PARTIAL,attempted,0.0,kept_previous_tv_partial,今回未取得のため前回TV_PARTIALを保持。https://www.tradingview.com/symbols/NASDAQ-DDOG/forecast/: HTTP Error 403: Forbidden / https://www.tradingview.com/symbols/NASDAQ-DDOG/forecast-price-target/: HTTP Error 403: Forbidden / https://www.tradingview.com/symbols/NYSE-DDOG/forecast/: HTTP Error 403: Forbidden
SNOW,NYSE:SNOW,https://www.tradingview.com/symbols/NYSE-SNOW/forecast/,US,stock,Snowflake,データクラウド,2026-06-27,2026-06-27,2026-07-04,248.9600067138672,,,,,,,,StrongBuy,,TV_PARTIAL,attempted,0.0,kept_previous_tv_partial,今回未取得のため前回TV_PARTIALを保持。https://www.tradingview.com/symbols/NYSE-SNOW/forecast/: HTTP Error 403: Forbidden / https://www.tradingview.com/symbols/NYSE-SNOW/forecast-price-target/: HTTP Error 403: Forbidden / https://www.tradingview.com/symbols/NASDAQ-SNOW/forecast/: HTTP Error 403: Forbidden
OPTX,NASDAQ:OPTX,https://www.tradingview.com/symbols/NASDAQ-OPTX/forecast/,US,stock,Syntec Optics,精密光学・フォトニクス,2026-06-27,2026-06-27,2026-07-04,10.5600004196167,,,,,,,,NoRating,,TV_PARTIAL,attempted,0.0,kept_previous_tv_partial,今回未取得のため前回TV_PARTIALを保持。https://www.tradingview.com/symbols/NASDAQ-OPTX/forecast/: HTTP Error 403: Forbidden / https://www.tradingview.com/symbols/NASDAQ-OPTX/forecast-price-target/: HTTP Error 403: Forbidden / https://www.tradingview.com/symbols/NYSE-OPTX/forecast/: HTTP Error 403: Forbidden
AEM,NYSE:AEM,https://www.tradingview.com/symbols/NYSE-AEM/forecast/,US,stock,Agnico Eagle Mines,金鉱株,2026-06-27,2026-06-27,2026-07-04,157.22999572753906,,,,,,,,Buy,,TV_PARTIAL,attempted,0.0,kept_previous_tv_partial,今回未取得のため前回TV_PARTIALを保持。https://www.tradingview.com/symbols/NYSE-AEM/forecast/: HTTP Error 403: Forbidden / https://www.tradingview.com/symbols/NYSE-AEM/forecast-price-target/: HTTP Error 403: Forbidden / https://www.tradingview.com/symbols/NASDAQ-AEM/forecast/: HTTP Error 403: Forbidden
ZETA,NYSE:ZETA,https://www.tradingview.com/symbols/NYSE-ZETA/forecast/,US,stock,Zeta Global,マーケAI,2026-06-27,2026-06-27,2026-07-04,18.979999542236328,,,,,,,,StrongBuy,,TV_PARTIAL,attempted,0.0,kept_previous_tv_partial,今回未取得のため前回TV_PARTIALを保持。https://www.tradingview.com/symbols/NYSE-ZETA/forecast/: HTTP Error 403: Forbidden / https://www.tradingview.com/symbols/NYSE-ZETA/forecast-price-target/: HTTP Error 403: Forbidden / https://www.tradingview.com/symbols/NASDAQ-ZETA/forecast/: HTTP Error 403: Forbidden
